WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2023-10-07,Middle East,Yemen,Abyan,Battles,Armed clash,3,0,13179.0,Political violence,3674.0,13.6274,46.228
2023-10-14,Middle East,Yemen,Abyan,Battles,Armed clash,4,1,49509.0,Political violence,3674.0,13.6274,46.228
2023-10-21,Middle East,Yemen,Abyan,Battles,Armed clash,5,0,26577.0,Political violence,3674.0,13.6274,46.228
2023-10-28,Middle East,Yemen,Abyan,Battles,Armed clash,5,5,36596.0,Political violence,3674.0,13.6274,46.228
2023-11-04,Middle East,Yemen,Abyan,Battles,Armed clash,2,0,,Political violence,3674.0,13.6274,46.228
2023-11-11,Middle East,Yemen,Abyan,Battles,Armed clash,4,0,,Political violence,3674.0,13.6274,46.228
2023-11-18,Middle East,Yemen,Abyan,Battles,Armed clash,4,0,91.0,Political violence,3674.0,13.6274,46.228
2023-11-25,Middle East,Yemen,Abyan,Battles,Armed clash,4,0,,Political violence,3674.0,13.6274,46.228
2023-12-02,Middle East,Yemen,Abyan,Battles,Armed clash,5,0,,Political violence,3674.0,13.6274,46.228
2023-12-09,Middle East,Yemen,Abyan,Battles,Armed clash,5,0,,Political violence,3674.0,13.6274,46.228
2024-01-27,Middle East,Yemen,Abyan,Battles,Armed clash,6,0,75813.0,Political violence,3674.0,13.6274,46.228
2024-02-03,Middle East,Yemen,Abyan,Battles,Armed clash,7,2,65793.0,Political violence,3674.0,13.6274,46.228
2024-02-10,Middle East,Yemen,Abyan,Battles,Armed clash,5,0,26584.0,Political violence,3674.0,13.6274,46.228
2024-02-17,Middle East,Yemen,Abyan,Battles,Armed clash,6,0,88528.0,Political violence,3674.0,13.6274,46.228
2024-02-24,Middle East,Yemen,Abyan,Battles,Armed clash,5,1,65490.0,Political violence,3674.0,13.6274,46.228
2024-03-02,Middle East,Yemen,Abyan,Battles,Armed clash,3,12,488.0,Political violence,3674.0,13.6274,46.228
2024-03-09,Middle East,Yemen,Abyan,Battles,Armed clash,6,2,91371.0,Political violence,3674.0,13.6274,46.228
2024-03-23,Middle East,Yemen,Abyan,Battles,Armed clash,5,5,48151.0,Political violence,3674.0,13.6274,46.228
2024-03-30,Middle East,Yemen,Abyan,Battles,Armed clash,2,3,47487.0,Political violence,3674.0,13.6274,46.228
2024-04-06,Middle East,Yemen,Abyan,Battles,Armed clash,4,0,18628.0,Political violence,3674.0,13.6274,46.228
2024-04-13,Middle East,Yemen,Abyan,Battles,Armed clash,9,4,107278.0,Political violence,3674.0,13.6274,46.228
2024-04-20,Middle East,Yemen,Abyan,Battles,Armed clash,3,0,11439.0,Political violence,3674.0,13.6274,46.228
2024-04-27,Middle East,Yemen,Abyan,Battles,Armed clash,5,1,63948.0,Political violence,3674.0,13.6274,46.228
2024-05-04,Middle East,Yemen,Abyan,Battles,Armed clash,4,0,36352.0,Political violence,3674.0,13.6274,46.228
